Word,Frequency
di,95
ini,52
yang,49
dan,48
dari,27
indonesia,27
yg,22
jadi,21
ada,21
dengan,20
orang,20
covid,19
untuk,18
oleh,18
tidak,16
presiden,14
akan,14
virus,14
sudah,13
karena,13
dapat,13
telah,13
apa,13
19,12
itu,12
hari,12
ke,11
negara,11
atau,11
semua,10
corona,10
jakarta,10
dunia,10
dalam,10
bukan,10
lebih,9
kita,9
anda,9
jokowi,9
harus,9
china,9
sama,9
info,9
a,8
the,8
hanya,8
warga,8
pki,8
kerja,8
baru,8
berita,8
demo,8
laku,8
gubernur,7
lihat,7
mereka,7
sekarang,7
bantu,7
masjid,7
mulai,7
saat,7
sebar,7
tinggal,7
sangat,7
bunuh,7
mau,7
muslim,7
pada,7
perintah,7
sebut,7
bisa,7
benar,7
foto,6
diri,6
tapi,6
tak,6
dr,6
saja,6
umat,6
tv,6
polisi,6
buat,6
bagi,6
tolak,6
selamat,6
dki,6
tahun,6
to,5
of,5
mask,5
in,5
anggota,5
seperti,5
tdk,5
pilih,5
prabowo,5
datang,5
nikah,5
islam,5
sedang,5
negeri,5
malam,5
besar,5
saya,5
sebab,5
juga,5
cara,5
video,5
anies,5
makan,5
rezim,5
rakyat,5
media,5
jual,5
rumah,5
ya,5
larang,5
satu,5
masuk,5
was,4
n,4
she,4
all,4
tengah,4
hasil,4
rapat,4
kadrun,4
panas,4
punya,4
korban,4
2019,4
hoax,4
minta,4
kami,4
belakang,4
sejarah,4
jika,4
vietnam,4
informasi,4
minum,4
kepada,4
coba,4
jangan,4
sampai,4
akhir,4
milik,4
adalah,4
baswedan,4
covid19,4
tahu,4
bakar,4
edar,4
allah,4
nya,4
sakit,4
nama,4
mohon,4
jelas,4
lagi,4
beli,4
mahasiswa,4
para,4
tangkap,4
batas,4
akibat,4
curang,4
maupun,4
bahwa,4
banyak,4
menteri,4
kaum,4
legionnaires,3
disease,3
it,3
grup,3
tim,3
siap,3
baik,3
italia,3
gagal,3
bikin,3
pilpres,3
si,3
sandiaga,3
kota,3
nomor,3
kenal,3
daripada,3
kalau,3
aku,3
